track,year,type,driver,period,plusminus
COTA,2019,road,   Josef Newgarden,5_18,3
COTA,2019,road,   Matheus Leist,5_18,-5
COTA,2019,road,   James Hinchcliffe,5_18,4
COTA,2019,road,   Marcus Ericsson,5_18,7
COTA,2019,road,   Scott Dixon,5_18,-8
COTA,2019,road,   Felix Rosenqvist,5_18,2
COTA,2019,road,   Will Power,5_18,0
COTA,2019,road,   Tony Kanaan,5_18,2
COTA,2019,road,   Graham Rahal,5_18,-1
COTA,2019,road,   Sebastien Bourdais,5_18,0
COTA,2019,road,   Santino Ferrucci,5_18,-1
COTA,2019,road,   Ed Jones,5_18,-1
COTA,2019,road,   Spencer Pigot,5_18,4
COTA,2019,road,   Simon Pagenaud,5_18,2
COTA,2019,road,   Zach Veach,5_18,0
COTA,2019,road,   Alexander Rossi,5_18,-1
COTA,2019,road,   Ryan Hunter-Reay,5_18,-1
COTA,2019,road,   Takuma Sato,5_18,-1
COTA,2019,road,   Patricio O'Ward,5_18,-3
COTA,2019,road,   Kyle Kaiser,5_18,-2
COTA,2019,road,   Max Chilton,5_18,-1
COTA,2019,road,   Jack Harvey,5_18,0
COTA,2019,road,   Colton Herta,5_18,1
COTA,2019,road,   Marco Andretti,5_18,0
COTA,2019,road,   Josef Newgarden,19_31,0
COTA,2019,road,   Matheus Leist,19_31,1
COTA,2019,road,   James Hinchcliffe,19_31,0
COTA,2019,road,   Marcus Ericsson,19_31,1
COTA,2019,road,   Scott Dixon,19_31,2
COTA,2019,road,   Felix Rosenqvist,19_31,-2
COTA,2019,road,   Will Power,19_31,0
COTA,2019,road,   Tony Kanaan,19_31,0
COTA,2019,road,   Graham Rahal,19_31,1
COTA,2019,road,   Sebastien Bourdais,19_31,-1
COTA,2019,road,   Santino Ferrucci,19_31,-8
COTA,2019,road,   Ed Jones,19_31,1
COTA,2019,road,   Spencer Pigot,19_31,0
COTA,2019,road,   Simon Pagenaud,19_31,4
COTA,2019,road,   Zach Veach,19_31,1
COTA,2019,road,   Alexander Rossi,19_31,1
COTA,2019,road,   Ryan Hunter-Reay,19_31,-1
COTA,2019,road,   Takuma Sato,19_31,0
COTA,2019,road,   Patricio O'Ward,19_31,2
COTA,2019,road,   Kyle Kaiser,19_31,1
COTA,2019,road,   Max Chilton,19_31,-5
COTA,2019,road,   Jack Harvey,19_31,2
COTA,2019,road,   Colton Herta,19_31,-1
COTA,2019,road,   Marco Andretti,19_31,1
Long Beach,2019,road,   Alexander Rossi,23_36,0
Long Beach,2019,road,   Josef Newgarden,23_36,2
Long Beach,2019,road,   Scott Dixon,23_36,-1
Long Beach,2019,road,   Graham Rahal,23_36,1
Long Beach,2019,road,   Ryan Hunter-Reay,23_36,1
Long Beach,2019,road,   Simon Pagenaud,23_36,1
Long Beach,2019,road,   Will Power,23_36,-5
Long Beach,2019,road,   Takuma Sato,23_36,1
Long Beach,2019,road,   James Hinchcliffe,23_36,4
Long Beach,2019,road,   Felix Rosenqvist,23_36,0
Long Beach,2019,road,   Sebastien Bourdais,23_36,0
Long Beach,2019,road,   Patricio O'Ward,23_36,1
Long Beach,2019,road,   Marco Andretti,23_36,1
Long Beach,2019,road,   Max Chilton,23_36,1
Long Beach,2019,road,   Matheus Leist,23_36,1
Long Beach,2019,road,   Ed Jones,23_36,0
Long Beach,2019,road,   Zach Veach,23_36,1
Long Beach,2019,road,   Spencer Pigot,23_36,1
Long Beach,2019,road,   Tony Kanaan,23_36,2
Long Beach,2019,road,   Marcus Ericsson,23_36,1
Long Beach,2019,road,   Santino Ferrucci,23_36,-10
Long Beach,2019,road,   Jack Harvey,23_36,0
Long Beach,2019,road,   Colton Herta,23_36,-3
Long Beach,2019,road,   Alexander Rossi,49_60,0
Long Beach,2019,road,   Josef Newgarden,49_60,0
Long Beach,2019,road,   Scott Dixon,49_60,-2
Long Beach,2019,road,   Graham Rahal,49_60,1
Long Beach,2019,road,   Ryan Hunter-Reay,49_60,1
Long Beach,2019,road,   Simon Pagenaud,49_60,0
Long Beach,2019,road,   Will Power,49_60,1
Long Beach,2019,road,   Takuma Sato,49_60,-1
Long Beach,2019,road,   James Hinchcliffe,49_60,0
Long Beach,2019,road,   Felix Rosenqvist,49_60,0
Long Beach,2019,road,   Sebastien Bourdais,49_60,0
Long Beach,2019,road,   Patricio O'Ward,49_60,2
Long Beach,2019,road,   Marco Andretti,49_60,0
Long Beach,2019,road,   Max Chilton,49_60,1
Long Beach,2019,road,   Matheus Leist,49_60,1
Long Beach,2019,road,   Ed Jones,49_60,1
Long Beach,2019,road,   Zach Veach,49_60,1
Long Beach,2019,road,   Spencer Pigot,49_60,1
Long Beach,2019,road,   Tony Kanaan,49_60,1
Long Beach,2019,road,   Marcus Ericsson,49_60,1
Long Beach,2019,road,   Santino Ferrucci,49_60,1
Long Beach,2019,road,   Jack Harvey,49_60,1
